Date : 2022-03-18 00:12:49
Directory : c:\xampp\htdocs\soften2-jobseeker-system
Total : 619 files,  200274 codes, 42119 comments, 35773 blanks, all 278166 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.de.js                                | JavaScript |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.en.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.es.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.fi.js                                | JavaScript |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.fr.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.hu.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.nl.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.pl.js                                | JavaScript |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.pt-BR.js                             | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.pt.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.ro.js                                | JavaScript |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.sk.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.zh.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\apexcharts\apexcharts.css                                                   | CSS        |        527 |          5 |         74 |        606 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\apexcharts\apexcharts.min.js                                                | JavaScript |          3 |         11 |          0 |         14 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\bootstrap-select.css                                       | CSS        |        449 |          8 |          1 |        458 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\bootstrap-select.js                                        | JavaScript |      2,417 |        181 |        548 |      3,146 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\bootstrap-select.min.css                                   | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\bootstrap-select.min.js                                    | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\dist\css\bootstrap-select.css                              | CSS        |        420 |          8 |          1 |        429 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\dist\css\bootstrap-select.min.css                          | CSS        |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\dist\js\bootstrap-select.js                                | JavaScript |      2,351 |        179 |        531 |      3,061 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\bootstrap-select\dist\js\bootstrap-select.min.js                            | JavaScript |          1 |          7 |          1 |          9 |
