Date : 2022-03-18 00:12:49
Directory : c:\xampp\htdocs\soften2-jobseeker-system
Total : 619 files,  200274 codes, 42119 comments, 35773 blanks, all 278166 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highcharts-6.0.7\code\highcharts-more.js                                    | JavaScript |         63 |          7 |          1 |         71 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highcharts-6.0.7\code\highcharts-more.src.js                                | JavaScript |      2,594 |      2,379 |        644 |      5,617 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highcharts-6.0.7\code\highcharts.js                                         | JavaScript |        386 |          7 |          1 |        394 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highcharts-6.0.7\code\highcharts.src.js                                     | JavaScript |     16,740 |     14,833 |      3,884 |     35,457 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highlight.js\src\highlight.js                                               | JavaScript |        625 |         96 |         96 |        817 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highlight.js\src\highlight.pack.js                                          | JavaScript |         14 |          1 |          0 |         15 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\highlight.js\src\styles\solarized-dark.css                                  | CSS        |         62 |         11 |         12 |         85 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\ion-rangeslider\css\ion.rangeSlider.css                                     | CSS        |        670 |          5 |          1 |        676 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\ion-rangeslider\js\ion.rangeSlider.min.js                                   | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jQuery-Knob-master\jquery.knob.min.js                                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jquery-asColorPicker\dist\css\asColorPicker.css                             | CSS        |        344 |          7 |         32 |        383 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jquery-asColorPicker\jquery-asColorPicker.js                                | JavaScript |      2,196 |         52 |        301 |      2,549 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jquery-asColor\dist\jquery-asColor.js                                       | JavaScript |      1,045 |         11 |         84 |      1,140 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jquery-asGradient\dist\jquery-asGradient.js                                 | JavaScript |        773 |          8 |         79 |        860 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jquery-steps\jquery.steps.css                                               | CSS        |        302 |          0 |         49 |        351 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jquery-steps\jquery.steps.js                                                | JavaScript |        938 |        942 |        233 |      2,113 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jvectormap\jquery-jvectormap-2.0.3.css                                      | CSS        |        113 |          0 |         22 |        135 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jvectormap\jquery-jvectormap-2.0.3.min.js                                   | JavaScript |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jvectormap\jquery-jvectormap-world-mill-en.js                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jvectormap\jquery-jvectormap.css                                            | CSS        |        113 |          0 |         22 |        135 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\jvectormap\jquery-jvectormap.js                                             | JavaScript |         34 |          6 |          5 |         45 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.concat.min.js | JavaScript |          3 |          2 |          0 |          5 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.css           | CSS        |        812 |        113 |        343 |      1,268 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.js            | JavaScript |      1,629 |        587 |        242 |      2,458 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.min.css       | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\malihu-custom-scrollbar-plugin-master\jquery.mousewheel.min.js              | JavaScript |          1 |          7 |          0 |          8 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\plyr\dist\plyr.css                                                          | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\plyr\dist\plyr.js                                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\plyr\dist\plyr.svg                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\css\select2.css                                                | CSS        |        428 |          0 |         57 |        485 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\css\select2.min.css                                            | CSS        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\af.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ar.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\az.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\bg.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\bs.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ca.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\cs.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\da.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\de.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\dsb.js                                                 | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\el.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\en.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\es.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\et.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\eu.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\fa.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\fi.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\fr.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\gl.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\he.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\hi.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\hr.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\hsb.js                                                 | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\hu.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\hy.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\id.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\is.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\it.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ja.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\km.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ko.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\lt.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\lv.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\mk.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ms.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\nb.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\nl.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\pl.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ps.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\pt-BR.js                                               | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\pt.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ro.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\ru.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\sk.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\sl.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\sr-Cyrl.js                                             | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\sr.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\sv.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\th.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\tk.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\tr.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\uk.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\vi.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\zh-CN.js                                               | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\i18n\zh-TW.js                                               | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\select2.full.js                                             | JavaScript |      4,934 |        346 |      1,280 |      6,560 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\select2.full.min.js                                         | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\select2.js                                                  | JavaScript |      4,423 |        294 |      1,131 |      5,848 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\select2\dist\js\select2.min.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\slick\slick.css                                                             | CSS        |        104 |          1 |         15 |        120 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\slick\slick.min.js                                                          | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\sweetalert2\sweet-alert.init.js                                             | JavaScript |        222 |         20 |         21 |        263 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\sweetalert2\sweetalert2.all.js                                              | JavaScript |      2,649 |        216 |        242 |      3,107 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\sweetalert2\sweetalert2.css                                                 | CSS        |      1,088 |          0 |         43 |      1,131 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\switchery\switchery.min.css                                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\switchery\switchery.min.js                                                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\timedropper\timedropper.css                                                 | CSS        |        439 |         52 |          6 |        497 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\timedropper\timedropper.js                                                  | JavaScript |        291 |          0 |        128 |        419 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\timedropper\timedropper.min.css                                             | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\timedropper\timedropper.min.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\wysihtml5-master\dist\wysihtml5-0.3.0.js                                    | JavaScript |      6,626 |      1,649 |      1,247 |      9,522 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\scripts\clipboard.min.js                                                            | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\scripts\jquery.min.js                                                               | JavaScript |          3 |          1 |          1 |          5 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\scripts\moment.js                                                                   | JavaScript |      3,451 |        332 |        724 |      4,507 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\scripts\setting.js                                                                  | JavaScript |        270 |         37 |         34 |        341 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\styles\media.css                                                                    | CSS        |         82 |          4 |          0 |         86 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\styles\style.css                                                                    | CSS        |      3,758 |        133 |         92 |      3,983 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\styles\theme.css                                                                    | CSS        |          0 |          4 |          0 |          4 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\sweetalert\sweetalert2.all.js                                                           | JavaScript |      2,427 |        368 |        620 |      3,415 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\sweetalert\sweetalert2.all.min.js                                                       | JavaScript |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\sweetalert\sweetalert2.css                                                              | CSS        |      1,367 |          0 |         32 |      1,399 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\sweetalert\sweetalert2.js                                                               | JavaScript |      2,427 |        367 |        620 |      3,414 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\sweetalert\sweetalert2.min.css                                                          | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\sweetalert\sweetalert2.min.js                                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\dropways.css                                                              | CSS        |      4,162 |          2 |          4 |      4,168 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\dropways.svg                                                              | XML        |      1,390 |          0 |          0 |      1,390 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\font-awesome\css\font-awesome.css                                         | CSS        |      2,327 |         10 |          1 |      2,338 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\font-awesome\css\font-awesome.min.css                                     | CSS        |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\fontawesome-webfont.svg                                                   | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\foundation-icons.css                                                      | CSS        |        586 |          5 |          4 |        595 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\foundation-icons.svg                                                      | XML        |        967 |          3 |          1 |        971 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\ionicons-master\css\ionicons.css                                          | CSS        |        736 |         11 |        734 |      1,481 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\ionicons-master\css\ionicons.min.css                                      | CSS        |          2 |          9 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\ionicons.svg                                                              | XML        |      2,227 |          3 |          1 |      2,231 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\themify-icons\themify-icons.css                                           | CSS        |      1,077 |          1 |          4 |      1,082 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\fonts\themify.svg                                                               | XML        |        362 |          0 |          0 |        362 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\JB.svg                                                                   | XML        |        210 |          0 |          2 |        212 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\briefcase.svg                                                            | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\cancel.svg                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\demo.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\deskapp-logo-white.svg                                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\deskapp-logo.svg                                                         | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\github.svg                                                               | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\menu-icon.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\page-icon.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\person.svg                                                               | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\plyr.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\images\tick.svg                                                                 | XML        |         11 |          1 |          1 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\advanced-components.js                                                  | JavaScript |         31 |          4 |          1 |         36 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\apexcharts-setting.js                                                   | JavaScript |        658 |          0 |         10 |        668 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\calendar-setting.js                                                     | JavaScript |        140 |          7 |          2 |        149 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\colorpicker.js                                                          | JavaScript |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\core.js                                                                 | JavaScript |     19,189 |      3,025 |      4,038 |     26,252 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\core.min.js                                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\dashboard.js                                                            | JavaScript |        452 |          1 |         14 |        467 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\dashboard2.js                                                           | JavaScript |        202 |          2 |          3 |        207 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\datatable-setting.js                                                    | JavaScript |         92 |          0 |          5 |         97 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\highchart-setting.js                                                    | JavaScript |        467 |          8 |         19 |        494 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\jvectormap-setting.js                                                   | JavaScript |         15 |          0 |          0 |         15 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\knob-chart-setting.js                                                   | JavaScript |         33 |          0 |          0 |         33 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\layout-settings.js                                                      | JavaScript |        129 |         31 |         34 |        194 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\process.js                                                              | JavaScript |         27 |          3 |          5 |         35 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\range-slider-setting.js                                                 | JavaScript |        105 |          0 |          0 |        105 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\script.js                                                               | JavaScript |        270 |         37 |         34 |        341 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\script.min.js                                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\scripts\steps-setting.js                                                        | JavaScript |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\styles\core.css                                                                 | CSS        |      9,548 |        220 |      1,852 |     11,620 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\styles\core.min.css                                                             | CSS        |          2 |          9 |          0 |         11 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\styles\icon-font.css                                                            | CSS        |      7,452 |         29 |      3,469 |     10,950 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\styles\icon-font.min.css                                                        | CSS        |          3 |         11 |          0 |         14 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\styles\style.css                                                                | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\vendors\styles\style.min.css                                                            | CSS        |          2 |          2 |          0 |          4 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-account\employer-account\logout.php                                                               | PHP        |          5 |          0 |          2 |          7 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-account\employer-account\userProfile.php                                                          | PHP        |        618 |          4 |         30 |        652 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-account\jobseeker-account\logout.php                                                              | PHP        |          5 |          0 |          2 |          7 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-account\jobseeker-account\userProfile.php                                                         | PHP        |        811 |         11 |         33 |        855 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\README.md                                                                           | Markdown   |        165 |          0 |         63 |        228 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\SECURITY.md                                                                         | Markdown   |         19 |          0 |         19 |         38 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\composer.json                                                                       | JSON       |         76 |          0 |          1 |         77 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\get_oauth_token.php                                                                 | PHP        |         84 |         46 |         17 |        147 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-af.php                                                      | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-ar.php                                                      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-az.php                                                      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-ba.php                                                      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-be.php                                                      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-bg.php                                                      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-ca.php                                                      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-ch.php                                                      | PHP        |         13 |         12 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\user-otp\PHPMailer\language\phpmailer.lang-cs.php                                                      | PHP        |         22 |          4 |          3 |         29 |
