"filename", "language", "PHP", "Markdown", "JSON", "CSS", "JavaScript", "XML", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-vi.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-zh.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-zh_cn.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\Exception.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 41
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\OAuth.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 79, 15, 140
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\OAuthTokenProvider.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 45
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\PHPMailer.php", "PHP", 2827, 0, 0, 0, 0, 0, 0, 0, 0, 1865, 380, 5072
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\POP3.php", "PHP", 178, 0, 0, 0, 0, 0, 0, 0, 0, 233, 52, 463
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\SMTP.php", "PHP", 718, 0, 0, 0, 0, 0, 0, 0, 0, 598, 141, 1457
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\accountVerify.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 30
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\db-connection.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\employerOtp.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 89
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\employerSendOtp.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\randomString.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\soften2-jobseeker-system\employerSignup.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 112, 11, 193
"c:\xampp\htdocs\soften2-jobseeker-system\footer.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\soften2-jobseeker-system\header.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\soften2-jobseeker-system\index.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 117
"c:\xampp\htdocs\soften2-jobseeker-system\jobseekerSignup.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 177, 11, 264
"c:\xampp\htdocs\soften2-jobseeker-system\queries\addJobseekerEducation.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\xampp\htdocs\soften2-jobseeker-system\queries\randomString.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\soften2-jobseeker-system\queries\updateAddress.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\xampp\htdocs\soften2-jobseeker-system\queries\updateEmployerInfo.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 69
"c:\xampp\htdocs\soften2-jobseeker-system\queries\updateImage.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35
"c:\xampp\htdocs\soften2-jobseeker-system\queries\updateJobSeekerSkills.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\soften2-jobseeker-system\queries\updateJobseekerCeo.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\soften2-jobseeker-system\queries\updateJobseekerInfo.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 64
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\.github\workflows\npm-publish.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 6, 48
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\gulpfile.js", "JavaScript", 0, 0, 0, 0, 214, 0, 0, 0, 0, 4, 15, 233
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\.bower.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\README.md", "Markdown", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 78, 296
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\bower.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.animate.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
